ablation_type,function,dimensions,run_id,final_fitness,total_evaluations,improvement_ratio,local_search_calls,plateau_escapes,basin_searches,final_exploration_scale,final_exploitation_scale,runtime_seconds
baseline,Ackley,10,1,0.0012370342444332216,17860,15486.017144957774,0,0,5,0.17,0.005,4.632043361663818
baseline,Ackley,10,2,1.7110018735166932e-08,4723,1085824052.8308625,1,0,5,0.17,0.005,1.4548680782318115
baseline,Ackley,10,3,0.004731878969025605,10498,4149.33051702671,0,0,5,0.17,0.005,2.40678334236145
baseline,Ackley,10,4,1.9721785537996084e-08,5192,1000235297.9453193,1,0,5,0.17,0.005,2.154980182647705
baseline,Ackley,10,5,1.9493402891868072e-08,7153,974294779.1443487,1,0,5,0.17,0.005,2.667259454727173
baseline,Ackley,10,6,1.915943714791979e-08,13479,1016607112.4567084,1,0,5,0.17,0.005,4.6639792919158936
baseline,Ackley,10,7,1.9400275608205675e-08,5664,1023741419.1451663,1,0,5,0.17,0.005,2.41746187210083
baseline,Ackley,10,8,0.00413056507417453,12921,4892.86527230513,0,0,5,0.17,0.005,3.34941029548645
baseline,Ackley,10,9,0.009571047758161644,8983,1910.7327883756682,0,0,4,0.17,0.005,1.6272363662719727
baseline,Ackley,10,10,1.972623708823562e-08,9662,962547357.2758969,1,0,5,0.17,0.005,3.6335980892181396
no_local_search,Ackley,10,1,0.0012370342444332216,3571,15486.017144957774,0,0,5,0.17,0.005,4.134093284606934
no_local_search,Ackley,10,2,0.010574877958110296,2211,1756.8495788438272,0,0,4,0.17,0.005,1.3252606391906738
no_local_search,Ackley,10,3,0.004731878969025605,2391,4149.33051702671,0,0,5,0.17,0.005,2.271062135696411
no_local_search,Ackley,10,4,0.0010459558542774694,3351,18859.71186349726,0,0,5,0.039,0.00855,4.406103610992432
no_local_search,Ackley,10,5,0.0003786170852326798,3529,50162.34450601364,0,0,5,0.0258,0.009210000000000001,4.452012300491333
no_local_search,Ackley,10,6,0.0018889743759236133,3222,10311.2145529867,0,0,5,0.0712,0.00694,4.444248914718628
no_local_search,Ackley,10,7,0.0006613248024796015,3207,30031.938328162796,0,0,5,0.040600000000000004,0.00847,4.453064441680908
no_local_search,Ackley,10,8,0.00413056507417453,2724,4892.86527230513,0,0,5,0.17,0.005,3.0366249084472656
no_local_search,Ackley,10,9,0.009571047758161644,2207,1910.7327883756682,0,0,4,0.17,0.005,1.3420665264129639
no_local_search,Ackley,10,10,0.0006942501879767526,3566,27349.56029844789,0,0,5,0.014199999999999999,0.00979,4.5665812492370605
no_surrogate,Ackley,10,1,1.98286014274629e-08,98037,966116222.9858735,1,0,5,0.17,0.005,1.5823700428009033
no_surrogate,Ackley,10,2,1.9941957862812387e-08,86352,931627175.9693131,1,0,5,0.17,0.005,1.4064781665802002
no_surrogate,Ackley,10,3,1.83937740594331e-08,68413,1067433455.777697,1,0,5,0.17,0.005,1.0307636260986328
no_surrogate,Ackley,10,4,1.9631855696644607e-08,93000,1004817187.8618056,1,0,5,0.17,0.005,1.5316636562347412
no_surrogate,Ackley,10,5,1.790100911946979e-08,84712,1060963688.613938,1,0,5,0.17,0.005,1.2980372905731201
no_surrogate,Ackley,10,6,1.957495188165126e-08,94017,995027737.1307378,1,0,5,0.17,0.005,1.5245797634124756
no_surrogate,Ackley,10,7,1.9613200397117225e-08,67505,1012627479.494423,1,0,5,0.17,0.005,1.0367889404296875
